plot_idx,block_idx,block_reward_type,block_forced_type,rewards,forgone_rewards,regrets,perc_opt_actions
4000,6.0,2.0,0.0,0.51354164,0.221875,,0.08227083,0.7578125
4000,6.0,3.0,1.0,0.4953125,0.24270834,,0.050906252,0.825
4000,7.0,0.0,0.0,0.50625,0.22916667,,0.08345833,0.7583333
4000,7.0,1.0,1.0,0.48489583,0.29479167,,0.053520836,0.8208333
4000,7.0,2.0,0.0,0.51354164,0.24583334,,0.08505209,0.753125
4000,7.0,3.0,1.0,0.4953125,0.29375,,0.04265625,0.8421875
4000,8.0,0.0,0.0,0.50625,0.215625,,0.07711458,0.7640625
4000,8.0,1.0,1.0,0.48489583,0.32291666,,0.0473125,0.8359375
4000,8.0,2.0,0.0,0.51354164,0.234375,,0.07286458,0.771875
4000,8.0,3.0,1.0,0.4953125,0.253125,,0.038760416,0.85520834
4000,9.0,0.0,0.0,0.50625,0.22395833,,0.07339583,0.7729167
4000,9.0,1.0,1.0,0.48489583,0.31145832,,0.043552082,0.8432292
4000,9.0,2.0,0.0,0.51354164,0.24270834,,0.070927076,0.7729167
4000,9.0,3.0,1.0,0.4953125,0.315625,,0.03834375,0.84583336
4000,10.0,0.0,0.0,0.50625,0.24895833,,0.068281256,0.7859375
4000,10.0,1.0,1.0,0.48489583,0.30416667,,0.03978125,0.8546875
4000,10.0,2.0,0.0,0.51354164,0.22604166,,0.06754167,0.7765625
4000,10.0,3.0,1.0,0.4953125,0.26875,,0.032552082,0.8598958
4000,11.0,0.0,0.0,0.50625,0.246875,,0.0624375,0.7953125
4000,11.0,1.0,1.0,0.48489583,0.34270832,,0.037697915,0.8588542
4000,11.0,2.0,0.0,0.51354164,0.22291666,,0.0675625,0.771875
4000,11.0,3.0,1.0,0.4953125,0.27291667,,0.028875,0.86822915
4000,12.0,0.0,0.0,0.50625,0.27708334,,0.062041666,0.7963542
4000,12.0,1.0,1.0,0.48489583,0.31145832,,0.03071875,0.871875
4000,12.0,2.0,0.0,0.51354164,0.25104168,,0.063,0.7828125
4000,12.0,3.0,1.0,0.4953125,0.290625,,0.029447917,0.8619792
4000,13.0,0.0,0.0,0.50625,0.27604166,,0.06554166,0.7875
4000,13.0,1.0,1.0,0.48489583,0.28229168,,0.031135416,0.87083334
4000,13.0,2.0,0.0,0.51354164,0.22083333,,0.06194792,0.7885417
4000,13.0,3.0,1.0,0.4953125,0.28125,,0.02865625,0.8671875
4000,14.0,0.0,0.0,0.50625,0.27395833,,0.061458334,0.7984375
4000,14.0,1.0,1.0,0.48489583,0.29791668,,0.031072916,0.86875
4000,14.0,2.0,0.0,0.51354164,0.265625,,0.060229167,0.7916667
